ticker,market,name,sector,liquidity_tag,included_reason,note
600919.SS,A,江苏银行,Unknown,dcf_focus_expansion_batch3,valuation_upgrade_backlog_p1,M5 batch3 | dcf_focus_expansion remaining banks + structural cases
601166.SS,A,兴业银行,Unknown,dcf_focus_expansion_batch3,valuation_upgrade_backlog_p1,M5 batch3 | dcf_focus_expansion remaining banks + structural cases
601818.SS,A,光大银行,Unknown,dcf_focus_expansion_batch3,valuation_upgrade_backlog_p1,M5 batch3 | dcf_focus_expansion remaining banks + structural cases
688126.SS,A,沪硅产业,Unknown,dcf_focus_expansion_batch3,valuation_upgrade_backlog_p1,M5 batch3 | dcf_focus_expansion remaining banks + structural cases
688506.SS,A,百利天恒,Unknown,dcf_focus_expansion_batch3,valuation_upgrade_backlog_p1,M5 batch3 | dcf_focus_expansion remaining banks + structural cases
