ticker,market,name,sector,liquidity_tag,included_reason,note
600660.SS,A,福耀玻璃,Unknown,dcf_focus_expansion_batch2,valuation_upgrade_backlog_p1,M5 batch2 | dcf_focus_expansion second batch
601169.SS,A,北京银行,Unknown,dcf_focus_expansion_batch2,valuation_upgrade_backlog_p1,M5 batch2 | dcf_focus_expansion second batch
601229.SS,A,上海银行,Unknown,dcf_focus_expansion_batch2,valuation_upgrade_backlog_p1,M5 batch2 | dcf_focus_expansion second batch
601288.SS,A,农业银行,Unknown,dcf_focus_expansion_batch2,valuation_upgrade_backlog_p1,M5 batch2 | dcf_focus_expansion second batch
601688.SS,A,华泰证券,Unknown,dcf_focus_expansion_batch2,valuation_upgrade_backlog_p1,M5 batch2 | dcf_focus_expansion second batch
